Term,Final Reward,Average Reward,Final Net Worth,Final Cash,Food Inventory,Fuel Inventory,Clothes Inventory
1,-0.63923645,0.06408149,174.27045,81.2651256837071,10,3,0
2,3.4019318,0.07350202,187.90842,79.0896116465606,3,4,4
3,-6.8948364,0.08889011,199.8236,41.62738095982732,9,6,2
4,-0.4736023,0.026083795,131.90048,117.44617105764287,8,1,1
5,-2.8754578,0.005870553,107.33232,30.435501666006015,6,12,3
6,0.16732788,0.164692,305.5356,128.78270156137393,12,4,1
7,-8.6015625,0.10754549,227.87158,62.7178258152842,0,13,3
8,19.576263,0.16953295,305.47394,16.894387698431274,1,19,1
9,0.26589966,0.012450765,116.09884,19.003089798608787,9,11,1
10,5.9040833,0.11085256,222.38123,135.20481825541393,1,6,0
11,-4.235733,0.0474695,155.01715,39.89379993580725,6,9,4
12,-0.78650665,-0.032976814,64.08825,15.124894411804458,1,24,0
13,-1.8269653,0.15372887,278.47922,18.381569381124457,7,16,0
14,-1.1860657,0.06305623,177.11777,6.380304846519067,16,11,0
15,4.310028,0.21164921,338.31702,104.81129382094562,11,3,5
16,-1.1828003,0.18706399,295.48187,22.542037228693864,10,14,2
17,2.6470032,0.13019688,239.31067,26.33660407972615,21,9,0
18,7.2372437,0.12602083,229.4234,17.87371400344225,19,8,2
19,-0.2849121,-0.023890527,72.40644,4.53195460955736,19,15,0
20,-2.9508362,0.11006498,220.63123,111.57479389869441,1,8,1
21,-6.0710754,0.0908416,184.39185,67.41133856622427,17,7,0
22,21.046967,0.16016297,270.09308,33.90495216332865,18,6,1
23,-5.6654053,0.15322845,262.7286,11.478630454821445,5,6,11
24,2.2420044,0.18192409,287.92758,53.69743635057167,21,8,0
25,-8.81665,0.25128326,338.97037,26.507525345892883,47,1,0
26,-2.0820923,0.24815914,336.49567,26.832751372895487,17,10,4
27,-0.1534729,0.16452621,259.59042,47.02274748417287,33,1,0
28,-6.9141846,0.1894273,285.8282,15.139968215500895,44,3,0
29,-9.106598,0.19167495,265.79883,6.124108484016244,44,0,0
30,6.3616943,0.29162058,350.50208,134.8817281372597,15,11,0
31,-6.569702,0.24850379,349.0008,52.97479994608166,33,6,0
32,0.26940155,-0.06021593,40.747524,10.66776769507878,21,2,2
33,13.261322,0.25385293,316.7904,11.811549077075012,51,1,0
34,-6.5950623,0.34741917,405.72888,19.358292374112732,14,16,3
35,-12.917572,0.30316433,364.66248,6.83662411495467,53,2,0
36,1.4710693,0.20321982,272.94006,29.832237945016225,28,5,0
37,7.1193695,0.18166701,251.14696,30.183511895866587,25,9,0
38,4.693207,0.30069584,354.38867,38.89023718975485,36,1,2
39,0.11557388,-0.060840257,48.468304,2.5683711996465646,52,0,0
40,5.575653,0.33710504,395.6411,46.01038453309204,45,0,0
41,0.052703857,-0.047898814,61.58515,20.086013856293736,38,3,0
42,-8.414093,0.23659195,282.649,49.770074715918994,34,3,0
43,-3.985672,0.110269144,182.70186,8.049945516047808,52,1,2
44,-1.6951218,-0.010012521,91.98998,8.760747843669646,39,5,4
45,5.9088135,0.34652656,354.00397,70.02137502454664,31,3,1
46,-4.666809,0.3559069,366.57428,55.68147187425485,20,9,2
47,9.382141,0.2923881,309.93466,3.239767045234605,46,0,0
48,-0.025543213,0.2647902,290.64896,16.132304956981468,35,0,6
49,11.194916,0.25416848,284.01797,6.2193348464398746,22,0,8
50,-7.171829,0.19911437,253.7163,15.046387089812683,36,1,0
51,0.12664795,-0.061079565,52.1747,3.143814160274468,45,1,2
52,4.2395325,0.26558426,291.75183,7.6371307266670385,8,22,2
53,-3.1326828,0.03328206,123.829956,48.76393135227151,40,0,3
54,0.09741211,-0.038548734,70.895706,46.68511538726082,3,5,2
55,0.32778168,-0.0414622,68.61311,12.593974146295,10,14,6
56,-6.1727905,0.18191661,231.52571,28.42354437667264,18,0,5
57,0.095775604,-0.0768164,42.848595,3.99135265884221,40,0,1
58,0.527771,0.3020052,307.17557,10.657389684003615,41,1,1
59,19.072449,0.36118838,343.07977,19.54181085029077,44,2,0
60,5.2561035,0.2626034,286.97363,0.3115789942961271,23,2,6
